"Sciezka Folderu";"Nazwa Pliku";"Rozszerzenie";"Czas Trwania";"Data Utworzenia"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"055 - Breakbot - Baby I'm Yours (feat. Irfane) [Official Video]";".mp3";"00:02:35";"2026-05-08 10:57:20"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"056 - Imagine Dragons - Bones (Official Music Video)";".mp3";"00:02:45";"2026-05-08 10:57:23"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"057 - Cyberpunk 2077 music";".mp3";"00:05:49";"2026-05-08 10:57:27"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"058 - Cyberpunk 2077 — Chippin’ In by SAMURAI (Refused)";".mp3";"00:03:35";"2026-05-08 10:57:32"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"059 - A Cruel Angel's Thesis ⧸ Eurobeat Remix";".mp3";"00:04:07";"2026-05-08 10:57:36"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"06 - 【周小蚕】INTERNET OVERDOSE feat. 初音ミク";".mp3";"00:03:42";"2026-05-08 11:18:11"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"060 - Michael Jackson - Dangerous (Audio)";".mp3";"00:07:00";"2026-05-08 10:57:41"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"062 - It Wasn't Me";".mp3";"00:03:47";"2026-05-08 10:57:48"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"063 - MACKLEMORE FEAT ERIC NALLY - AIN'T GONNA DIE TONIGHT";".mp3";"00:03:34";"2026-05-08 10:57:52"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"064 - Touch The Sky";".mp3";"00:02:31";"2026-05-08 10:57:56"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"065 - Weezer - You Might Think (From Disney⧸Pixar’s CARS 2)";".mp3";"00:03:04";"2026-05-08 10:58:00"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"066 - 'City of Stars' (Duet ft. Ryan Gosling, Emma Stone) - La La Land Original Motion Picture Soundtrack";".mp3";"00:02:25";"2026-05-08 10:58:04"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"067 - Rascal Flatts - Life Is a Highway (From ＂Cars＂⧸Official Video)";".mp3";"00:04:58";"2026-05-08 10:58:07"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"069 - Ping Island⧸Lightning Strike Rescue Op";".mp3";"00:04:15";"2026-05-08 10:58:13"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"07 - [NanoKarrin] Death note OP - ＂the WORLD＂『POLISH』";".mp3";"00:01:28";"2026-05-08 11:18:16"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"070 - OKI - Jakie To Uczucie？";".mp3";"00:02:43";"2026-05-08 10:58:18"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"071 - STACHURSKY - DOSKOZZZA (Official Video)";".mp3";"00:06:04";"2026-05-08 10:58:21"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"072 - Eagles Of Death Metal - Family Affair";".mp3";"00:03:50";"2026-05-08 10:58:27"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"073 - Tracy Chapman - ＂Fast Car＂ (Live in Oakland, 1988)";".mp3";"00:05:36";"2026-05-08 10:58:32"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"074 - Buena Vista Social Club - Chan Chan (Official HD Video)";".mp3";"00:04:40";"2026-05-08 10:58:37"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"075 - L.A. Woman";".mp3";"00:07:51";"2026-05-08 10:58:42"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"076 - Dolly Parton - Jolene (Official Audio)";".mp3";"00:02:43";"2026-05-08 10:58:50"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"077 - CHEW - Please Don't Take Your Love. (1983)";".mp3";"00:05:36";"2026-05-08 10:58:54"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"078 - 1985";".mp3";"00:02:26";"2026-05-08 10:59:01"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"08 - Garmarna - Herr Mannelig";".mp3";"00:06:23";"2026-05-08 11:18:18"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"080 - Lovin' You";".mp3";"00:03:59";"2026-05-08 10:59:06"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"081 - Sway";".mp3";"00:03:08";"2026-05-08 10:59:10"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"082 - The Trammps - Disco Inferno (Original Long Version - Tony Mendes Video Re Edit)";".mp3";"00:10:49";"2026-05-08 10:59:14"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"083 - He's the Greatest Dancer (1995 Remaster)";".mp3";"00:06:15";"2026-05-08 10:59:24"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"084 - [Electro Swing Remix] A Friend Like Me";".mp3";"00:02:35";"2026-05-08 10:59:30"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"085 - Get Down On It";".mp3";"00:04:53";"2026-05-08 10:59:33"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"086 - André Rieu - Parade Of The Charioteers (Ben Hur)";".mp3";"00:03:15";"2026-05-08 10:59:38"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"087 - Pirates of The Caribbean - He's a Pirate - Tango";".mp3";"00:02:13";"2026-05-08 10:59:42"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"088 - Gipsy Kings - Hotel California (Spanish Mix) (Audio)";".mp3";"00:05:49";"2026-05-08 10:59:45"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"09 - Erica I don't know nightcore";".mp3";"00:02:42";"2026-05-08 11:18:25"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"090 - When Johnny Comes Marching Home - Reupload";".mp3";"00:02:57";"2026-05-08 10:59:52"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"091 - Creedence Clearwater Revival - Fortunate Son";".mp3";"00:02:17";"2026-05-08 10:59:55"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"092 - Kid Rock - All Summer Long [Official Music Video]";".mp3";"00:03:48";"2026-05-08 10:59:59"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"093 - Elvis Presley - It's Now or Never (Official Audio)";".mp3";"00:03:15";"2026-05-08 11:00:03"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"094 - Zapach róży - Piosenki harcerskie";".mp3";"00:03:43";"2026-05-08 11:00:07"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"095 - Luciano Pavarotti, Andrea Bocelli - Notte 'e piscatore (Official Live Performance Video)";".mp3";"00:05:33";"2026-05-08 11:00:12"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"097 - Put Your Head On My Shoulder";".mp3";"00:02:42";"2026-05-08 11:00:18"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"098 - Nelly Furtado - Say It Right (Official Music Video)";".mp3";"00:03:54";"2026-05-08 11:00:22"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"099 - Modjo - Lady (Hear Me Tonight) (Official Video)";".mp3";"00:03:41";"2026-05-08 11:00:26"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"10 - [free] Chiptune + Reaglia, greyrock, снялцепи type beat ＂Puddles＂. prod. 0vvv0";".mp3";"00:02:13";"2026-05-08 11:18:29"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"100 - Lou Bega - Mambo No. 5 (A Little Bit of...)";".mp3";"00:03:41";"2026-05-08 11:00:31"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"101 - Parov Stelar & Georgia Gibbs - Tango Del Fuego (Official Video)";".mp3";"00:03:03";"2026-05-08 11:00:35"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"102 - Jain - Come (Official Video)";".mp3";"00:02:40";"2026-05-08 11:00:39"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"103 - Jungle Swing";".mp3";"00:02:59";"2026-05-08 11:00:42"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"104 - AronChupa - Little Swing ft. Little Sis Nora ｜ OFFICIAL VIDEO";".mp3";"00:03:49";"2026-05-08 11:00:46"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"105 - Bakermat - One Day (Vandaag) (Videoclip)";".mp3";"00:03:39";"2026-05-08 11:00:50"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"106 - Bakermat - Baianá (Official Video)";".mp3";"00:03:20";"2026-05-08 11:00:54"
